recency,Recency group,history,History Group,Men/Women,zip_code,newbie,channel,segment,visit
4,2,297.8,3,Both Men and Women,Urban,0,Phone,Womens E-Mail,1
9,3,360.66,3,Only Men,Surburban,0,Multichannel,Mens E-Mail,1
1,1,251.61,3,Only Men,Urban,0,Web,Mens E-Mail,1
7,3,215.61,4,Only Men,Urban,0,Phone,No E-Mail,1
1,1,2141.12,1,Only Women,Surburban,1,Web,Mens E-Mail,1
8,3,96.18,4,Only Women,Surburban,0,Phone,No E-Mail,1
4,2,29.99,4,Only Men,Urban,0,Web,Womens E-Mail,1
4,2,297.67,3,Only Men,Rural,0,Web,Womens E-Mail,1
1,1,644.18,2,Both Men and Women,Surburban,1,Web,Mens E-Mail,1
5,2,29.99,4,Only Women,Urban,0,Web,Womens E-Mail,1
1,1,357.99,3,Only Men,Urban,0,Multichannel,Mens E-Mail,1
1,1,533.66,2,Only Men,Urban,1,Phone,Womens E-Mail,1
7,3,180.59,4,Only Men,Urban,1,Phone,Mens E-Mail,1
6,2,179.01,4,Only Men,Urban,0,Phone,Womens E-Mail,1
11,4,29.99,4,Only Men,Surburban,0,Phone,No E-Mail,1
7,3,64.13,4,Only Men,Urban,1,Phone,Mens E-Mail,1
7,3,281.73,3,Both Men and Women,Urban,0,Phone,Mens E-Mail,1
2,1,270.33,3,Only Women,Urban,0,Web,No E-Mail,1
4,2,73.55,4,Only Women,Surburban,1,Web,Womens E-Mail,1
2,1,49.6,4,Only Men,Rural,1,Web,Mens E-Mail,1
2,1,949.57,1,Only Women,Urban,1,Multichannel,Mens E-Mail,1
2,1,116.07,4,Only Women,Urban,0,Web,No E-Mail,1
6,2,93.58,4,Only Women,Rural,0,Web,Mens E-Mail,1
1,1,233.7,3,Only Men,Urban,0,Phone,Mens E-Mail,1
12,4,103.46,4,Only Men,Surburban,1,Web,Mens E-Mail,1
8,3,367.41,3,Only Men,Urban,1,Web,Mens E-Mail,1
6,2,223.93,4,Both Men and Women,Urban,1,Web,Mens E-Mail,1
10,4,47.17,4,Only Women,Urban,0,Web,Womens E-Mail,1
4,2,29.99,4,Only Men,Rural,0,Web,Womens E-Mail,1
1,1,498.06,2,Only Men,Urban,0,Multichannel,No E-Mail,1
12,4,79.71,4,Only Men,Surburban,0,Phone,No E-Mail,1
3,1,447.06,2,Both Men and Women,Urban,1,Phone,Mens E-Mail,1
3,1,29.99,4,Only Women,Surburban,0,Web,Mens E-Mail,1
2,1,80.44,4,Only Women,Surburban,0,Phone,Mens E-Mail,1
8,3,1422.37,1,Only Men,Rural,1,Phone,Womens E-Mail,1
2,1,272.47,3,Only Men,Surburban,0,Phone,No E-Mail,1
5,2,504.95,2,Only Men,Surburban,1,Multichannel,Mens E-Mail,1
2,1,262.8,3,Only Men,Rural,0,Phone,No E-Mail,1
1,1,548,2,Only Women,Surburban,1,Phone,Womens E-Mail,1
12,4,36.67,4,Only Women,Urban,0,Web,Mens E-Mail,1
6,2,159.83,4,Only Women,Urban,1,Web,Womens E-Mail,1
11,4,29.99,4,Only Women,Urban,0,Web,Womens E-Mail,1
2,1,425.79,2,Only Men,Surburban,0,Multichannel,No E-Mail,1
10,4,32.04,4,Only Men,Urban,1,Web,Mens E-Mail,1
2,1,503.9,2,Both Men and Women,Urban,1,Multichannel,Womens E-Mail,1
7,3,340.69,3,Only Women,Surburban,0,Phone,Mens E-Mail,1
10,4,304.63,3,Both Men and Women,Surburban,0,Phone,Mens E-Mail,1
2,1,599.19,2,Only Women,Surburban,1,Multichannel,Mens E-Mail,1
4,2,416.46,2,Only Women,Surburban,0,Phone,Mens E-Mail,1
2,1,749.65,1,Both Men and Women,Urban,1,Multichannel,Womens E-Mail,1
4,2,1034.62,1,Only Men,Surburban,1,Phone,Womens E-Mail,1
3,1,106.14,4,Only Women,Rural,0,Phone,Mens E-Mail,1
1,1,119.03,4,Only Men,Urban,1,Phone,No E-Mail,1
8,3,194.81,4,Only Men,Urban,1,Web,Womens E-Mail,1
1,1,122.16,4,Only Women,Rural,1,Phone,Womens E-Mail,1
6,2,81.39,4,Only Women,Rural,0,Phone,Womens E-Mail,1
7,3,87.77,4,Only Women,Urban,1,Web,Womens E-Mail,1
10,4,37.6,4,Only Men,Surburban,0,Web,Mens E-Mail,1
2,1,29.99,4,Only Men,Rural,1,Phone,Mens E-Mail,1
1,1,118.42,4,Only Women,Urban,1,Phone,Mens E-Mail,1
9,3,801.91,1,Only Women,Urban,1,Phone,Mens E-Mail,1
1,1,252.82,3,Both Men and Women,Surburban,0,Phone,Mens E-Mail,1
6,2,74.98,4,Only Women,Urban,0,Phone,Womens E-Mail,1
8,3,34.89,4,Only Men,Urban,1,Phone,Womens E-Mail,1
1,1,716.38,1,Both Men and Women,Rural,1,Multichannel,Mens E-Mail,1
5,2,143.26,4,Only Men,Urban,0,Phone,Womens E-Mail,1
2,1,846.64,1,Only Men,Urban,1,Web,Womens E-Mail,1
3,1,141.78,4,Only Women,Rural,0,Web,No E-Mail,1
6,2,405.44,3,Only Men,Surburban,0,Phone,Mens E-Mail,1
1,1,954.65,1,Only Men,Surburban,1,Multichannel,Womens E-Mail,1
6,2,1039.2,1,Both Men and Women,Urban,1,Web,Womens E-Mail,1
3,1,806.73,1,Only Men,Urban,1,Phone,Mens E-Mail,1
6,2,123.53,4,Only Men,Rural,0,Phone,No E-Mail,1
3,1,553.88,2,Only Women,Surburban,1,Phone,Womens E-Mail,1
10,4,525.36,2,Only Men,Urban,1,Phone,Mens E-Mail,1
3,1,707.31,1,Only Men,Surburban,1,Web,Mens E-Mail,1
1,1,72.04,4,Only Women,Surburban,0,Web,Womens E-Mail,1
1,1,78.53,4,Only Men,Rural,1,Phone,Womens E-Mail,1
8,3,327.3,3,Only Men,Surburban,0,Web,No E-Mail,1
1,1,506.82,2,Only Women,Surburban,1,Web,No E-Mail,1
1,1,525.78,2,Only Women,Surburban,1,Phone,Womens E-Mail,1
5,2,178.06,4,Only Men,Surburban,0,Phone,Mens E-Mail,1
7,3,200.53,4,Only Women,Rural,0,Web,Mens E-Mail,1
2,1,105.84,4,Only Women,Surburban,1,Phone,No E-Mail,1
3,1,29.99,4,Only Men,Urban,1,Web,Womens E-Mail,1
4,2,172.92,4,Only Women,Urban,0,Web,Mens E-Mail,1
1,1,239.7,3,Both Men and Women,Urban,1,Web,Womens E-Mail,1
11,4,444.85,2,Both Men and Women,Surburban,0,Phone,Womens E-Mail,1
1,1,520.24,2,Both Men and Women,Surburban,1,Web,No E-Mail,1
1,1,41.03,4,Only Men,Surburban,0,Phone,Womens E-Mail,1
7,3,99.55,4,Only Women,Rural,0,Phone,Mens E-Mail,1
7,3,351.41,3,Only Women,Surburban,0,Multichannel,Mens E-Mail,1
3,1,368.38,3,Only Women,Surburban,0,Multichannel,No E-Mail,1
9,3,285.21,3,Only Men,Surburban,1,Phone,Mens E-Mail,1
3,1,29.99,4,Only Women,Surburban,1,Web,No E-Mail,1
2,1,29.99,4,Only Men,Rural,0,Web,Womens E-Mail,1
8,3,135.08,4,Only Women,Surburban,1,Phone,Mens E-Mail,1
10,4,29.99,4,Only Women,Surburban,0,Web,No E-Mail,1
10,4,30.82,4,Only Men,Urban,0,Web,Womens E-Mail,1
10,4,90.31,4,Only Men,Urban,0,Phone,No E-Mail,1
2,1,186.32,4,Only Men,Surburban,1,Phone,Womens E-Mail,1
11,4,152.6,4,Only Women,Rural,1,Web,Womens E-Mail,1
11,4,65.67,4,Only Men,Rural,1,Web,Mens E-Mail,1
3,1,351.29,3,Only Men,Surburban,0,Phone,No E-Mail,1
1,1,646.37,2,Both Men and Women,Urban,1,Multichannel,Womens E-Mail,1
2,1,51.71,4,Only Women,Urban,1,Phone,Womens E-Mail,1
4,2,29.99,4,Only Women,Urban,1,Phone,Womens E-Mail,1
1,1,569.13,2,Only Men,Surburban,1,Phone,Mens E-Mail,1
10,4,197.63,4,Only Women,Surburban,0,Web,Womens E-Mail,1
8,3,29.99,4,Only Men,Surburban,0,Web,No E-Mail,1
1,1,1747.62,1,Only Women,Surburban,1,Multichannel,Mens E-Mail,1
1,1,1075.99,1,Only Women,Surburban,1,Phone,Mens E-Mail,1
7,3,195.15,4,Only Men,Rural,0,Web,No E-Mail,1
3,1,144.39,4,Only Women,Urban,1,Phone,Mens E-Mail,1
3,1,232.62,3,Only Men,Surburban,0,Web,No E-Mail,1
2,1,83.62,4,Only Men,Urban,0,Web,Womens E-Mail,1
4,2,498.04,2,Only Women,Urban,1,Phone,Mens E-Mail,1
2,1,565.12,2,Only Men,Surburban,1,Multichannel,Womens E-Mail,1
9,3,127.99,4,Only Men,Surburban,0,Phone,Womens E-Mail,1
8,3,188.27,4,Only Women,Rural,0,Phone,Mens E-Mail,1
9,3,435.91,2,Only Women,Urban,0,Multichannel,Womens E-Mail,1
5,2,495,2,Only Women,Surburban,0,Web,Womens E-Mail,1
2,1,359.23,3,Only Men,Urban,0,Multichannel,Mens E-Mail,1
4,2,29.99,4,Only Men,Urban,0,Web,Mens E-Mail,1
9,3,268.71,3,Only Women,Surburban,0,Multichannel,Womens E-Mail,1
10,4,29.99,4,Only Men,Urban,0,Web,No E-Mail,1
1,1,29.99,4,Only Men,Rural,1,Phone,Mens E-Mail,1
1,1,642.89,2,Only Women,Urban,1,Multichannel,Womens E-Mail,1
3,1,29.99,4,Only Men,Rural,1,Phone,Mens E-Mail,1
2,1,60.33,4,Only Women,Surburban,1,Web,Womens E-Mail,1
3,1,524.93,2,Only Men,Rural,1,Web,Womens E-Mail,1
5,2,142.3,4,Only Men,Rural,0,Phone,Womens E-Mail,1
3,1,441.13,2,Both Men and Women,Surburban,0,Phone,No E-Mail,1
10,4,169.19,4,Only Women,Urban,0,Phone,Womens E-Mail,1
7,3,371.51,3,Only Women,Rural,1,Multichannel,Womens E-Mail,1
5,2,739.86,1,Both Men and Women,Urban,1,Phone,No E-Mail,1
10,4,197.87,4,Only Men,Urban,0,Web,Mens E-Mail,1
1,1,150.61,4,Only Men,Urban,0,Phone,No E-Mail,1
5,2,349.59,3,Both Men and Women,Surburban,0,Phone,Mens E-Mail,1
1,1,453.91,2,Only Men,Surburban,0,Web,No E-Mail,1
9,3,297.59,3,Only Women,Surburban,1,Phone,Mens E-Mail,1
9,3,536.8,2,Both Men and Women,Rural,1,Web,No E-Mail,1
3,1,72.07,4,Only Men,Surburban,0,Phone,Mens E-Mail,1
5,2,630.33,2,Both Men and Women,Rural,1,Web,No E-Mail,1
9,3,304.79,3,Only Women,Rural,0,Web,Mens E-Mail,1
7,3,147.99,4,Only Men,Urban,0,Phone,Mens E-Mail,1
7,3,178.77,4,Only Women,Surburban,0,Phone,No E-Mail,1
12,4,29.99,4,Only Women,Urban,0,Web,No E-Mail,1
6,2,210.94,4,Only Men,Rural,1,Web,Womens E-Mail,1
12,4,94.75,4,Only Women,Urban,1,Phone,Womens E-Mail,1
6,2,614.42,2,Both Men and Women,Urban,1,Web,Womens E-Mail,1
5,2,210.12,4,Only Women,Surburban,0,Phone,Womens E-Mail,1
7,3,453.52,2,Both Men and Women,Surburban,0,Phone,Mens E-Mail,1
2,1,1039.77,1,Both Men and Women,Rural,1,Phone,No E-Mail,1
10,4,354.75,3,Only Men,Urban,0,Phone,No E-Mail,1
5,2,52.56,4,Only Women,Rural,0,Web,Womens E-Mail,1
3,1,799.28,1,Both Men and Women,Urban,1,Multichannel,Mens E-Mail,1
3,1,880.15,1,Both Men and Women,Urban,1,Multichannel,Mens E-Mail,1
12,4,29.99,4,Only Women,Surburban,1,Web,Womens E-Mail,1
10,4,106.53,4,Only Women,Urban,0,Web,Womens E-Mail,1
1,1,397.96,3,Only Women,Rural,1,Phone,Womens E-Mail,1
2,1,33.71,4,Only Women,Urban,1,Web,Womens E-Mail,1
11,4,29.99,4,Only Women,Urban,0,Web,Womens E-Mail,1
11,4,37.56,4,Only Men,Surburban,0,Web,Mens E-Mail,1
5,2,378.78,3,Only Men,Surburban,1,Multichannel,Womens E-Mail,1
1,1,1927.91,1,Both Men and Women,Surburban,1,Phone,No E-Mail,1
1,1,78.55,4,Only Women,Surburban,0,Web,Womens E-Mail,1
10,4,29.99,4,Only Men,Surburban,0,Web,Mens E-Mail,1
10,4,169.15,4,Only Women,Surburban,0,Web,Womens E-Mail,1
2,1,1020.29,1,Only Women,Surburban,1,Multichannel,Womens E-Mail,1
6,2,288.62,3,Only Women,Urban,0,Multichannel,Mens E-Mail,1
1,1,1033.92,1,Both Men and Women,Surburban,1,Web,Womens E-Mail,1
1,1,455.65,2,Only Men,Urban,0,Phone,No E-Mail,1
2,1,53.34,4,Only Men,Urban,1,Phone,Womens E-Mail,1
1,1,185.07,4,Only Men,Surburban,0,Phone,Womens E-Mail,1
6,2,83.59,4,Only Women,Urban,1,Web,No E-Mail,1
9,3,29.99,4,Only Women,Urban,1,Web,Mens E-Mail,1
2,1,182.91,4,Only Women,Rural,0,Phone,Womens E-Mail,1
5,2,429.66,2,Only Women,Rural,0,Multichannel,Mens E-Mail,1
2,1,215.61,4,Only Men,Rural,0,Web,Mens E-Mail,1
12,4,37.57,4,Only Women,Surburban,0,Phone,Mens E-Mail,1
8,3,176.33,4,Only Women,Rural,1,Web,No E-Mail,1
3,1,89.58,4,Only Women,Surburban,1,Web,Mens E-Mail,1
2,1,49.29,4,Only Women,Surburban,1,Phone,Womens E-Mail,1
6,2,44.32,4,Only Women,Urban,0,Web,No E-Mail,1
1,1,611.91,2,Both Men and Women,Rural,1,Phone,Mens E-Mail,1
1,1,64.7,4,Only Women,Rural,0,Web,Mens E-Mail,1
2,1,1005.18,1,Both Men and Women,Urban,1,Web,Mens E-Mail,1
5,2,69.91,4,Only Women,Surburban,1,Phone,No E-Mail,1
2,1,242.13,3,Only Men,Rural,0,Phone,Mens E-Mail,1
2,1,282.47,3,Both Men and Women,Surburban,1,Multichannel,No E-Mail,1
1,1,265.69,3,Only Women,Rural,0,Web,Mens E-Mail,1
4,2,29.99,4,Only Women,Rural,0,Phone,No E-Mail,1
1,1,282.82,3,Only Men,Surburban,0,Multichannel,Womens E-Mail,1
3,1,427.13,2,Only Women,Surburban,0,Web,Mens E-Mail,1
3,1,284.59,3,Only Men,Surburban,0,Multichannel,Womens E-Mail,1
1,1,607.33,2,Only Women,Urban,1,Web,Womens E-Mail,1
3,1,382.37,3,Both Men and Women,Urban,1,Multichannel,Mens E-Mail,1
1,1,134.11,4,Only Women,Surburban,0,Phone,No E-Mail,1
4,2,370.88,3,Both Men and Women,Urban,1,Web,Mens E-Mail,1
2,1,492.73,2,Only Women,Surburban,0,Multichannel,Mens E-Mail,1
3,1,181.8,4,Only Men,Urban,1,Web,No E-Mail,1
4,2,182.85,4,Only Women,Rural,0,Web,Mens E-Mail,1
5,2,382.68,3,Only Women,Urban,0,Web,No E-Mail,1
7,3,167.92,4,Only Women,Surburban,0,Phone,Mens E-Mail,1
1,1,214.52,4,Only Women,Rural,0,Phone,No E-Mail,1
6,2,95.93,4,Only Women,Surburban,0,Phone,No E-Mail,1
2,1,980.39,1,Only Men,Urban,1,Phone,No E-Mail,1
4,2,533.62,2,Both Men and Women,Urban,1,Multichannel,No E-Mail,1
9,3,52.34,4,Only Men,Urban,0,Phone,Mens E-Mail,1
9,3,151.14,4,Only Men,Surburban,0,Phone,Mens E-Mail,1
1,1,938.86,1,Only Men,Urban,1,Phone,No E-Mail,1
6,2,177.84,4,Only Women,Surburban,0,Web,Womens E-Mail,1
2,1,601.16,2,Both Men and Women,Urban,1,Web,Mens E-Mail,1
1,1,388.61,3,Only Women,Urban,0,Multichannel,Womens E-Mail,1
3,1,164.88,4,Only Men,Urban,1,Phone,Womens E-Mail,1
1,1,29.99,4,Only Women,Urban,1,Web,Womens E-Mail,1
10,4,92.57,4,Only Women,Urban,1,Web,Womens E-Mail,1
10,4,29.99,4,Only Women,Surburban,0,Web,Mens E-Mail,1
3,1,1694.68,1,Both Men and Women,Rural,1,Multichannel,No E-Mail,1
9,3,184.63,4,Only Women,Surburban,0,Web,Womens E-Mail,1
4,2,342.91,3,Only Men,Urban,0,Phone,Mens E-Mail,1
4,2,73.55,4,Only Men,Urban,0,Web,Mens E-Mail,1
9,3,253.68,3,Only Women,Rural,0,Multichannel,Mens E-Mail,1
3,1,158.21,4,Only Women,Surburban,0,Phone,Womens E-Mail,1
3,1,346.9,3,Only Men,Surburban,0,Web,No E-Mail,1
9,3,664.73,2,Only Men,Surburban,1,Multichannel,Mens E-Mail,1
5,2,676.78,2,Only Men,Surburban,1,Multichannel,Mens E-Mail,1
8,3,1115.93,1,Both Men and Women,Urban,1,Phone,Womens E-Mail,1
6,2,288.1,3,Only Men,Surburban,1,Phone,No E-Mail,1
12,4,29.99,4,Only Men,Urban,1,Web,Womens E-Mail,1
1,1,29.99,4,Only Men,Surburban,0,Phone,Mens E-Mail,1
3,1,29.99,4,Only Women,Urban,0,Web,Womens E-Mail,1
2,1,378.5,3,Only Women,Urban,0,Web,Mens E-Mail,1
2,1,227.67,3,Both Men and Women,Surburban,1,Web,Mens E-Mail,1
2,1,289.96,3,Both Men and Women,Urban,0,Multichannel,Mens E-Mail,1
2,1,128.35,4,Only Women,Urban,0,Phone,No E-Mail,1
3,1,350.75,3,Both Men and Women,Rural,0,Web,No E-Mail,1
3,1,278.83,3,Only Men,Urban,0,Web,No E-Mail,1
2,1,136.64,4,Only Men,Urban,0,Web,No E-Mail,1
6,2,99.97,4,Only Men,Urban,1,Web,Mens E-Mail,1
1,1,1628.41,1,Only Women,Urban,1,Web,Womens E-Mail,1
3,1,159.22,4,Only Men,Rural,0,Phone,Mens E-Mail,1
3,1,187.3,4,Only Men,Urban,0,Web,No E-Mail,1
9,3,29.99,4,Only Men,Urban,1,Web,Womens E-Mail,1
9,3,618.2,2,Both Men and Women,Surburban,1,Multichannel,Mens E-Mail,1
6,2,430.65,2,Both Men and Women,Urban,0,Multichannel,Mens E-Mail,1
12,4,144.36,4,Only Men,Rural,0,Phone,No E-Mail,1
4,2,139.14,4,Only Women,Surburban,1,Web,Womens E-Mail,1
9,3,219.56,4,Only Women,Rural,0,Phone,No E-Mail,1
4,2,363.76,3,Only Men,Surburban,0,Web,Mens E-Mail,1
9,3,84.78,4,Only Men,Rural,0,Phone,No E-Mail,1
3,1,223.62,4,Only Women,Surburban,0,Web,No E-Mail,1
1,1,61.08,4,Only Women,Rural,0,Web,Womens E-Mail,1
12,4,442.65,2,Only Women,Rural,1,Multichannel,Womens E-Mail,1
3,1,164.38,4,Only Men,Urban,0,Web,Mens E-Mail,1
10,4,255.22,3,Both Men and Women,Urban,1,Phone,Womens E-Mail,1
2,1,51.78,4,Only Women,Rural,0,Phone,Womens E-Mail,1
10,4,237.92,3,Only Men,Urban,0,Phone,Mens E-Mail,1
1,1,774.14,1,Both Men and Women,Urban,1,Multichannel,Womens E-Mail,1
2,1,573,2,Both Men and Women,Surburban,1,Phone,Mens E-Mail,1
4,2,57.74,4,Only Men,Urban,0,Web,No E-Mail,1
6,2,177.3,4,Only Men,Surburban,0,Phone,Mens E-Mail,1
6,2,1653.84,1,Only Men,Surburban,1,Multichannel,No E-Mail,1
5,2,865.86,1,Only Men,Urban,1,Multichannel,Mens E-Mail,1
1,1,245.63,3,Both Men and Women,Urban,0,Phone,Mens E-Mail,1
5,2,102.32,4,Only Women,Urban,1,Phone,Mens E-Mail,1
1,1,89.48,4,Only Women,Urban,0,Phone,No E-Mail,1
1,1,308.57,3,Only Men,Urban,0,Web,Mens E-Mail,1
8,3,50.47,4,Only Men,Rural,1,Web,Mens E-Mail,1
8,3,36.72,4,Only Women,Surburban,1,Web,Mens E-Mail,1
5,2,64.69,4,Only Women,Surburban,1,Web,No E-Mail,1
3,1,334.23,3,Only Women,Urban,0,Phone,Womens E-Mail,1
10,4,284.91,3,Only Women,Urban,0,Phone,Mens E-Mail,1
1,1,74.59,4,Only Women,Surburban,1,Phone,Womens E-Mail,1
12,4,225.29,4,Only Men,Surburban,1,Web,Mens E-Mail,1
4,2,59.03,4,Only Women,Urban,0,Web,Mens E-Mail,1
9,3,659.02,2,Both Men and Women,Urban,1,Phone,Mens E-Mail,1
2,1,266.18,3,Only Men,Urban,0,Web,Mens E-Mail,1
3,1,221.57,4,Only Men,Surburban,0,Web,No E-Mail,1
2,1,467.73,2,Only Women,Urban,0,Web,No E-Mail,1
12,4,223.86,4,Both Men and Women,Surburban,0,Phone,Mens E-Mail,1
1,1,329.58,3,Only Men,Rural,0,Web,No E-Mail,1
9,3,440.72,2,Only Men,Surburban,0,Multichannel,Mens E-Mail,1
1,1,1173.86,1,Only Women,Urban,1,Phone,Mens E-Mail,1
2,1,71.05,4,Only Men,Urban,0,Phone,Mens E-Mail,1
11,4,167.39,4,Only Women,Surburban,0,Web,Womens E-Mail,1
1,1,73.3,4,Only Women,Urban,0,Phone,Mens E-Mail,1
4,2,161.46,4,Only Men,Urban,0,Web,Mens E-Mail,1
11,4,373.38,3,Only Women,Rural,0,Web,Womens E-Mail,1
5,2,283.54,3,Only Men,Rural,1,Phone,No E-Mail,1
1,1,482.28,2,Only Women,Surburban,0,Multichannel,Womens E-Mail,1
9,3,173.88,4,Only Women,Surburban,0,Phone,Mens E-Mail,1
10,4,52.27,4,Only Women,Urban,1,Web,Mens E-Mail,1
1,1,419.62,2,Both Men and Women,Surburban,0,Multichannel,Mens E-Mail,1
1,1,169.88,4,Only Men,Surburban,1,Web,Mens E-Mail,1
4,2,117.89,4,Only Men,Rural,0,Web,Mens E-Mail,1
1,1,319.65,3,Both Men and Women,Surburban,1,Web,Mens E-Mail,1
11,4,29.99,4,Only Men,Rural,0,Web,No E-Mail,1
10,4,528.77,2,Only Men,Surburban,1,Phone,Mens E-Mail,1
3,1,815.43,1,Both Men and Women,Rural,1,Web,Womens E-Mail,1
3,1,137.63,4,Only Women,Urban,1,Web,No E-Mail,1
2,1,740.96,1,Both Men and Women,Urban,1,Phone,Mens E-Mail,1
3,1,129.42,4,Only Women,Urban,1,Web,Mens E-Mail,1
1,1,851.87,1,Both Men and Women,Surburban,1,Phone,Mens E-Mail,1
1,1,173.28,4,Only Women,Surburban,0,Phone,Womens E-Mail,1
1,1,379.54,3,Only Women,Urban,0,Multichannel,No E-Mail,1
1,1,249.17,3,Only Women,Urban,0,Phone,Womens E-Mail,1
9,3,109.04,4,Only Men,Rural,1,Web,Womens E-Mail,1
3,1,309.81,3,Only Men,Rural,0,Web,Womens E-Mail,1
1,1,616.7,2,Only Women,Urban,1,Multichannel,No E-Mail,1
9,3,82.12,4,Only Men,Urban,0,Phone,Mens E-Mail,1
3,1,821.09,1,Both Men and Women,Urban,1,Phone,Mens E-Mail,1
10,4,132.93,4,Only Women,Surburban,0,Web,Womens E-Mail,1
3,1,730.41,1,Only Men,Rural,1,Multichannel,Womens E-Mail,1
2,1,389.37,3,Only Men,Urban,0,Phone,Mens E-Mail,1
1,1,1400.87,1,Both Men and Women,Surburban,1,Multichannel,Mens E-Mail,1
2,1,407.52,3,Only Women,Surburban,1,Phone,Mens E-Mail,1
1,1,204.46,4,Both Men and Women,Surburban,0,Web,Womens E-Mail,1
1,1,106.27,4,Only Women,Surburban,1,Web,Mens E-Mail,1
1,1,573.14,2,Only Women,Surburban,1,Web,Womens E-Mail,1
1,1,1216.65,1,Both Men and Women,Surburban,1,Web,Womens E-Mail,1
2,1,285.37,3,Only Women,Surburban,0,Multichannel,No E-Mail,1
3,1,99.16,4,Only Women,Urban,0,Phone,Mens E-Mail,1
11,4,287.23,3,Only Men,Rural,0,Multichannel,Womens E-Mail,1
11,4,109.19,4,Only Women,Surburban,1,Web,Mens E-Mail,1
